"模型","积分","成本(折算API价格)","订阅折算","token(不算缓存)","缓存","接入方式","备注"
"deepseek-v4.1-flash(max)","61.66","1.67-3.34元","无","683k","97.7%(20.114m)","官方api","无"
"mimo-v2.6-pro(thinking)","61.36","1.8元","1.458元","367k","97.7%(9.146m)","官方api","无"
"qwen3.8-flash(max)","54.7","4.98元","1.243元","1001k","98%(36.75m)","官方api","无"
"gpt-5.6-luna(max)","50.96","4.19元","-","410k","98.6%(19.426m)","zenmux api","无"
"step-5-preview(high)","42.68","24.6元","0.61元","449k","99.7%(55.503m)","step订阅","无"
"glm5.3(max)","-","-元","-元","-k","-%(-m)","官方api","zcode预设"
"glm-5.3-flash(max)","-","-元","-元","-k","-%(-m)","官方api","zcode预设"
"hy4-preview(high)","-","-元","-","-k","-%(-m)","-","-"
"kimi-k2.8-preview(max)","-","-元","-","-k","-%(-m)","kimi订阅","kimicode预设"
"kimi-k3(max)","-","-元","-","-k","-%(-m)","kimi订阅","kimicode预设"
"kimi-k3(high)","-","-元","-","-k","-%(-m)","kimi订阅","kimicode预设"
