"Model","MacOS App(C)","Web(E)","Game(F)","Rust App(G)","Simple Model(H)","iOS+Server(I)","Animation(J)","Data Process(K)","Unprompted","Scaffold","Think"
"Claude Fable 5 (high)","Pass","Pass","Pass","Pending","2/A+(90.52)","3/A+(122.57)","7/A(59.02)","Pending","1","Claude Code","1"
"Claude Opus 5 (max)","Pass","Pending","Pass","Pending","4/A(123.94)","1/A+(122.57)","12/B+(573.18)","16/D(304.84)","3","Claude Code","1"
"GPT-5.6 Sol (max)","Pass","Pass","Pass","15/B+(683.21)","4/A(63.86)","8/A(26.97)","23/B(97.98)","8/B(770.41)","2","Codex App","1"
"Kimi-K3 (max)","7/A(122.87)","12/B(171.72)","15/B(126.40)","18/B(771.86)","6/A(29.59)","5/A(43.22)","22/B(43.23)","28/D+(383.49)","2","Claude Code","1"
"Qwen3.8-Max (max)","Skip","Skip","8/B(293.87)","Skip","11/B(33.16)","10/B(50.86)","15/B(48.94)","Skip","0","Claude Code","1"
"Gemini 3.7 Flash (high)","Skip","12/B(38.76)","Skip","Skip","14/B(9.38)","8/B(16.84)","14/B(14.28)","34/D(28.93)","4","OpenCode CLI","1"
"Grok 4.6 (high)","Skip","Pass","Skip","Skip","16/C+(17.67)","7/B+(18.69)","20/C+(23.19)","Skip","1","Grok Build","1"
"Grok 4.5 (high)","12/B+(55.98)","7/A(91.51)","Skip","Skip","16/B(23.12)","7/B+(15.98)","Failed","Skip","1","Grok Build","1"
"GLM-5.2 (max)","16/B(58.92)","8/A(79.17)","8/A(51.98)","43/C(266.62)","14/B(10.75)","15/C+(28.61)","30/C(26.76)","Skip","0","Claude Code","1"
"DeepSeek V4 Pro 0813 (max)","Skip","Skip","Skip","Skip","14/B(13.46)","16/C(12.73)","Failed","16/B(18.64)","0","Claude Code","1"
"Muse Spark 1.2 (xhigh)","Skip","Skip","19/B(134.29)","Skip","26/C(15.82)","11/B(17.76)","Failed","Skip","0","Claude Code","1"
"DeepSeek V4 Flash 0731 (max)","Skip","8/A(5.33)","9/A(7.62)","44/D+(12.41)","17/B(7.38)","24/D+(4.79)","Failed","Failed","2","Claude Code","1"
"Claude Sonnet 5 (high)","Skip","18/B(192.63)","14/B+(144.10)","Skip","22/C(154.97)","16/C+(72.34)","Failed","Skip","1","Claude Code","1"
"Tencent Hy3 (high)","11/B(8.06)","12/B(8.68)","13/B(11.04)","Failed(5/9)","10/B(2.01)","20/C+(13.29)","Failed","Failed","0","Claude Code","1"
"GPT-5.6 Luna (max)","Skip","Skip","Skip","Skip","27/C(3.84)","21/C(4.90)","Failed","Skip","0","Codex","1"
"Gemini 3.5 Flash (high)","21/C","20/C","17/B","Skip","Skip","Skip","Skip","Skip","3","Gemini CLI","1"
"MiniMax-M3","Skip","51/D+","Skip","Skip","Skip","Skip","Skip","Skip","1","Claude Code","1"
