"Model","MacOS App(C)","Flutter(D)","Web(E)","Game(F)","总扣分","Unprompted","Scaffold","Think"
"GPT-5.5(high)","7","6","2","10","25","1","Codex App","1"
"Opus 4.6","9","Skip","8","11",">28","3","Claude Code","0"
"GPT-5.3-Codex(high)","8","7","9","13","37","0","Codex App","1"
"GPT-5.4(high)","9","7","8","14","38","2","Codex CLI","1"
"GPT-5.2-Codex(high)",7,"9","10","Skip",">26","0","Codex CLI","1"
"Opus 4.5",8,13,"13","Skip",">34","4","Claude Code","0"
"Sonnet 4.6","Skip","Skip","Skip","18",">18","1","Claude Code","1"
"DeepSeek V4 Pro (max)",16,8,17,30,71,0,"Claude Code","1"
"GLM-5.1","19","13","15","41","88","3","Claude Code","1"
"DeepSeek V4 Pro (high)",33,12,30,32,107,1,"Claude Code","1"
"Sonnet 4.5",13,20,"30","Skip",">63","0","Claude Code","1"
"DeepSeek V4 Flash(max)","FAILED(5/12)","15","27","38",">80","0","Claude Code","1"
"K2.6-code-preview","FAILED(5/12)","16","17","Skip","INVALID(>33)","0","Kimi Code","1"
"Qwen3.6-Plus","FAILED(5/12)","13","29","FAILED(3/9)","INVALID(>42)","0","Claude Code","1"
"GLM-5","FAILED(7/12)","36","25","Skip","INVALID(>61)","0","OpenCode","1"
"Seed-2.0-Code(high)","FAILED(7/12)","35","30","FAILED(3/9)","INVALID(>65)","1","Trae","1"
"MiniMax M2.5","FAILED(7/12)","25","41","FAILED(2/9)","INVALID(>66)","0","Claude Code","1"
"Kimi K2.5(Think)","FAILED(2/12)","37","32","FAILED(2/9)","INVALID(>69)","0","OpenCode","1"
"MiniMax M2.1","FAILED(2/12)","26","44","Skip","INVALID(>70)","1","Claude Code","1"
"MiMo-V2.5-Pro","Skip","FAILED(6/9)","35","Skip",">35","0","Claude Code","1"
"MiMo-V2-Pro","Skip","Skip","47","Skip",">47","0","OpenCode","1"
"GLM-4.7","FAILED(2/12)","FAILED(3/9)","FAILED(5/11)","Skip","INVALID","0","Claude Code","1"

